Eurovision Song Contest 2015 Second Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Slovenia,Switzerland,13,14,11,12,9,13,10,12,"
"
Slovenia,Cyprus,10,4,7,1,8,5,3,4,7
Slovenia,Poland,12,12,13,10,10,12,8,9,2
Sweden,Lithuania,12,14,15,8,14,14,9,13,"
"
Sweden,Ireland,4,4,1,3,4,3,14,8,3
Sweden,San Marino,15,16,16,16,16,16,16,16,"
"
Sweden,Montenegro,6,2,5,5,5,4,6,4,7
Sweden,Malta,8,6,9,7,11,7,15,12,"
"
Sweden,Norway,2,1,3,2,1,1,1,1,12
Sweden,Portugal,16,10,10,11,12,12,12,15,"
"
Sweden,Czech Republic,13,9,6,10,10,9,10,10,1
Sweden,Israel,5,5,4,6,13,6,2,2,10
Sweden,Latvia,1,3,2,1,3,2,7,3,8
Sweden,Azerbaijan,3,8,8,4,2,5,11,7,4
Sweden,Iceland,9,12,14,14,6,11,8,9,2
Sweden,Switzerland,7,15,12,12,7,10,13,14,"
"
Sweden,Cyprus,11,7,7,9,8,8,4,5,6
Sweden,Slovenia,10,11,13,15,15,15,5,11,"
"
Sweden,Poland,14,13,11,13,9,13,3,6,5
Switzerland,Lithuania,12,1,9,5,3,5,12,8,3
Switzerland,Ireland,4,7,12,7,8,6,14,13,"
"
Switzerland,San Marino,16,16,13,16,16,16,15,16,"
"
Switzerland,Montenegro,9,13,14,11,11,15,5,10,1
Switzerland,Malta,5,10,4,2,5,4,16,14,"
"
Switzerland,Norway,2,6,2,1,4,2,3,2,10
Switzerland,Portugal,13,14,15,10,6,14,1,5,6
Switzerland,Czech Republic,11,15,6,13,9,12,8,11,"
"
Switzerland,Israel,6,2,16,6,12,9,4,4,7
Switzerland,Latvia,1,4,5,4,1,1,10,3,8
Switzerland,Azerbaijan,10,9,7,12,15,11,11,15,"
"
Switzerland,Iceland,15,8,8,3,7,7,13,12,"
"
Switzerland,Sweden,8,3,3,9,2,3,2,1,12
Switzerland,Cyprus,3,12,10,14,13,10,7,6,5
Switzerland,Slovenia,7,11,1,8,14,8,9,7,4
Switzerland,Poland,14,5,11,15,10,13,6,9,2
United Kingdom,Lithuania,12,13,10,16,11,14,1,8,3
United Kingdom,Ireland,9,3,4,4,1,2,6,3,8
United Kingdom,San Marino,16,16,15,17,17,17,17,17,"
"
United Kingdom,Montenegro,13,15,8,13,16,15,14,15,"
"
United Kingdom,Malta,4,5,9,5,3,3,10,6,5
United Kingdom,Norway,6,6,14,3,6,7,8,9,2
United Kingdom,Portugal,3,8,16,9,9,9,9,10,1
United Kingdom,Czech Republic,15,7,5,6,10,8,13,12,"
"
United Kingdom,Israel,2,2,6,1,2,1,5,1,12
United Kingdom,Latvia,7,1,3,15,4,4,3,2,10
United Kingdom,Azerbaijan,17,11,7,10,14,13,16,16,"
"
United Kingdom,Iceland,14,14,17,12,13,16,12,14,"
"
United Kingdom,Sweden,1,4,12,7,7,6,4,4,7
United Kingdom,Switzerland,8,10,13,14,8,11,15,13,"
"
United Kingdom,Cyprus,10,12,2,2,5,5,7,5,6
United Kingdom,Slovenia,5,17,1,8,15,10,11,11,"
"
United Kingdom,Poland,11,9,11,11,12,12,2,7,4
